Zip,City,State,Division,Parking,Pets,Food,Lounge
64658,Marceline,MO,Central,N,Y,N,N
85139,Maricopa,AZ,Southwest,Y,Y,N,N
54143,Marinette,WI,Central,N,N,N,N
95338,Mariposa,CA,Pacific,N,N,N,N
95338,Mariposa,CA,Pacific,N,N,N,N
49855,Marquette,MI,Central,N,N,N,N
75670,Marshall,TX,Southwest,Y,N,N,N
94553,Martinez,CA,Pacific,Y,Y,N,N
25401,Martinsburg,WV,Mid-Atlantic,N,N,N,N
95901,Marysville,CA,Pacific,N,N,N,N
61938,Mattoon,IL,Central,N,N,N,N
41056,Maysville,KY,Central,N,N,N,N
83638,McCall,ID,Pacific Northwest,N,N,N,N
39648,McComb,MS,Southern,N,N,N,N
69001,McCook,NE,Central,N,N,N,N
76657,McGregor,TX,Southwest,N,N,N,N
95519,McKinleyville,CA,Pacific,N,N,N,N
97501,Medford,OR,Pacific,N,N,N,N
38103,Memphis,TN,Central,Y,Y,N,N
61342,Mendota,IL,Central,N,N,N,N
54751,Menomonie,WI,Central,N,N,N,N
95340,Merced,CA,Pacific,Y,Y,N,N
39301,Meridian,MS,Southern,Y,Y,N,N
33147,Miami,FL,Southern,N,N,N,Y
46360,Michigan City,IN,Central,N,N,N,N
17057,Middletown,PA,Mid-Atlantic,N,N,N,N
95345,Midpines,CA,Pacific,N,N,N,N
53221,Milwaukee,WI,Central,N,N,N,N
53203,Milwaukee,WI,Central,Y,Y,N,N
75773,Mineola,TX,Southwest,N,N,N,N
58701,Minot,ND,Central,Y,N,N,N
95355,Modesto,CA,Pacific,Y,Y,N,N
93501,Mojave,CA,Pacific,N,N,N,N
61265,Moline,IL,Central,N,N,N,N
98272,Monroe,WA,Pacific Northwest,N,N,N,N
98272,Monroe,WA,Pacific Northwest,N,N,N,N
93940,Monterey,CA,Pacific,N,N,N,N
93940,Monterey,CA,Pacific,N,N,N,N
93940,Monterey,CA,Pacific,N,N,N,N
93940,Monterey,CA,Pacific,N,N,N,N
93940,Monterey,CA,Pacific,N,N,N,N
25136,Montgomery,WV,Mid-Atlantic,N,N,N,N
93021,Moorpark,CA,Southwest,N,N,N,N
95037,Morgan Hill,CA,Pacific,N,N,N,N
83843,Moscow,ID,Pacific Northwest,N,N,N,N
98837,Moses Lake,WA,Pacific Northwest,N,N,N,N
54455,Mosinee,WI,Central,N,N,N,N
17552,Mount Joy,PA,Mid-Atlantic,N,N,N,N
98273,Mount Vernon,WA,Pacific Northwest,N,N,N,N
52641,Mt. Pleasant,IA,Central,Y,N,N,N
75965,Nacogdoches,TX,Southwest,N,N,N,N
83651,Nampa,ID,Pacific Northwest,N,N,N,N
94559,Napa,CA,Pacific,N,N,N,N
94559,Napa,CA,Pacific,N,N,N,N
60540,Naperville,IL,Central,Y,N,N,N
97301,Necanicum Junction,OR,Pacific Northwest,N,N,N,N
92363,Needles,CA,Southwest,N,N,N,N
49117,New Buffalo,MI,Central,N,N,N,N
20784,New Carrollton,MD,Mid-Atlantic,Y,Y,N,N
3256,New Hampton,NH,Northeast,N,N,N,N
6519,New Haven,CT,Northeast,Y,Y,N,N
70560,New Iberia,LA,Southern,N,N,N,N
70113,New Orleans,LA,Southern,Y,N,N,Y
10801,New Rochelle,NY,Northeast,N,N,N,N
10001,New York,NY,Northeast,Y,Y,N,Y
19711,Newark,DE,Mid-Atlantic,N,Y,N,N
7114,Newark,NJ,Northeast,Y,Y,N,N
7102,Newark,NJ,Northeast,Y,Y,N,N
38059,Newbern,TN,Central,N,N,N,N
1950,Newburyport,MA,Northeast,N,Y,N,N
97365,Newport,OR,Pacific Northwest,N,N,N,N
23601,Newport News,VA,Mid-Atlantic,Y,N,N,N
67114,Newton,KS,Central,Y,N,N,N
14305,Niagara Falls,NY,Northeast,Y,N,N,N
49120,Niles,MI,Central,Y,N,N,N
23510,Norfolk,VA,Mid-Atlantic,N,N,N,N
61761,Normal,IL,Central,Y,Y,N,N
73069,Norman,OK,Central,N,N,N,N
27607,North Carolina State Fair,NC,Southern,N,N,N,N
29405,North Charleston,SC,Southern,Y,Y,N,N
94621,Oakland,CA,Pacific,N,N,N,N
94607,Oakland,CA,Pacific,Y,Y,N,N
34470,Ocala,FL,Southern,N,N,N,N
21842,Ocean City,MD,Mid-Atlantic,N,N,N,N
92054,Oceanside,CA,Southwest,Y,N,N,N
54153,Oconto,WI,Central,N,N,N,N
